index,Регион,Child_mortality_rural,Child_mortality_urban,Disabled_18_30,Disabled_31_60,Disabled_61_,Disabled_total,Morbidity_onko,Morbidity_psiho,Morbidity_total,Poverty_percent,Welfare,Cash_income,Socdem_deti,Socdem_pens,Socdem_trud,Housing_live,Population,GRP,Reg_prod_manufactor,Reg_prod_mining,Reg_prod_total,Retail,Alco,Drug,Newborn,Сrimes_drug,Сrimes_total
45,Республика Мордовия,18.55,30.73,44953.68,350840.23,668641.0,1097158.36,2589.01,1707.55,38275.01,25.12,17.12,18784.17,34.85,6.8,58.1,20.0,834305.77,165862.43,144801454.27,130046.71,266808394.02,64560.82,124.3,8.4,8650.54,3492.45,9239.0
46,Республика Татарстан,89.45,229.45,73134.05,552175.73,1020361.5,1678394.73,2586.99,1507.24,44811.39,11.78,15.4,33778.33,41.0,8.52,50.47,16.2,3821518.0,330548.25,1334287688.72,472878884.89,3269669860.88,132898.18,91.9,11.36,38272.35,5471.36,14988.82
47,Удмуртская Республика,58.73,98.05,50651.36,384908.95,723931.68,1192215.45,2581.33,1581.69,49953.68,17.91,17.35,24368.83,42.98,6.28,50.78,14.8,1529291.45,229485.04,262623964.32,163034222.78,779627041.56,86086.36,111.78,10.15,17412.54,4748.36,12485.73
48,Чувашская Республика,35.91,51.73,48218.91,359311.45,681043.32,1121297.14,2580.73,1712.21,52391.01,23.28,18.25,18919.67,32.9,5.7,61.42,14.2,1256656.36,154071.15,158038040.12,634237.67,302748079.6,72901.5,126.21,5.67,14109.0,3782.45,10139.36
49,Пермский край,98.23,193.73,60757.73,448358.5,919630.14,1461469.82,2583.95,1698.49,50535.9,15.93,17.98,29534.33,40.52,5.18,54.28,16.0,2674796.41,282987.5,845206441.55,246719408.55,1989614107.45,124223.95,143.4,17.78,27844.9,5599.18,15366.32
50,Кировская область,36.36,76.27,48261.0,372766.95,788519.86,1242271.27,2589.08,1632.48,41381.17,20.78,18.5,22453.33,38.08,5.05,56.82,14.9,1358026.77,157125.08,174089151.16,1180634.58,352815456.28,84770.32,113.7,6.41,13949.09,4451.09,11670.95
51,Нижегородская область,70.32,223.5,64827.05,490053.0,1102632.82,1690236.32,2590.34,1488.14,45300.85,14.88,17.91,31542.67,35.6,7.5,56.92,17.5,3334231.55,240533.71,1068382045.4,1446106.3,1930379869.06,126687.64,101.62,11.29,28427.08,4989.36,13708.77
52,Оренбургская область,108.77,112.32,57241.32,434338.91,899494.45,1423798.14,2590.24,1789.08,45251.83,19.06,18.93,23430.83,42.85,5.25,51.88,19.0,2044345.82,270771.92,251373057.06,378888339.74,1155691762.12,88219.14,129.31,8.59,21761.81,4650.14,12752.68
53,Пензенская область,34.86,67.27,47581.23,369554.45,720777.86,1170637.0,2592.68,1829.21,42268.77,20.8,17.84,22056.0,37.3,9.5,53.25,16.9,1379740.09,168953.62,160606006.72,1168557.79,308484095.68,90187.14,149.46,10.71,12697.54,3858.09,10118.0
54,Самарская область,51.73,173.77,61554.45,490602.73,900128.36,1485009.0,2593.9,1654.08,51631.23,16.86,18.15,28243.0,39.62,5.88,54.5,16.9,3211413.41,269489.11,862218206.46,231023926.06,2007810309.93,132992.23,103.91,15.15,28998.4,4885.55,14623.32
55,Саратовская область,63.82,138.55,55369.77,420781.09,770487.18,1279361.5,2585.79,1559.67,39519.71,21.29,18.96,21397.5,39.42,5.6,55.0,17.8,2530551.73,178970.66,299340858.8,26588168.66,690822187.72,84509.59,106.31,8.48,21647.67,4497.77,12180.86
56,Ульяновская область,32.41,78.55,50099.36,388334.86,740337.68,1211495.36,2591.19,1552.95,48902.78,22.03,18.75,23282.83,35.58,4.9,59.53,17.9,1296705.14,175929.4,206335244.88,8839464.86,405387703.26,87984.55,134.26,14.82,12758.64,3806.73,10066.41
57,Курганская область,49.77,58.27,46583.82,352098.27,677039.55,1108445.09,2580.74,1865.79,46579.18,24.81,18.57,20773.83,39.52,4.02,56.47,16.7,911180.41,154689.75,85604251.31,2550657.02,178257060.12,82368.91,126.18,19.95,10924.63,4193.18,11100.64
58,Свердловская область,74.64,308.36,74698.95,536046.27,1006659.73,1650128.41,2586.14,1548.08,39628.85,13.02,17.88,36207.33,42.82,4.7,52.42,15.8,4351359.14,290593.97,1493652474.1,67204065.02,2964599402.28,154066.41,106.96,22.14,42831.81,6606.77,18413.36
59,Ханты-Мансийский автономный округ - Югра,13.91,107.05,49108.91,351824.55,614312.91,1047969.82,2573.85,1567.25,48932.11,9.86,16.16,50059.5,46.72,5.05,48.2,13.9,1552571.45,941512.17,412552742.58,2690549125.06,5393585699.04,166221.55,115.75,18.47,20672.45,4070.86,10733.73
60,Ямало-Ненецкий автономный округ,33.18,42.05,41747.32,305609.59,566601.73,946682.09,2574.06,1700.2,61160.98,7.4,15.69,78070.5,47.7,1.05,51.22,15.5,528274.77,1736090.29,242191925.74,1572189953.83,3257201830.56,170317.45,135.59,15.45,9072.32,3451.14,8821.73
61,Тюменская область,46.3,76.86,51490.41,371419.18,707310.77,1162943.82,2585.9300000000003,2260.37,13005.21,18.71,17.22,28856.5,46.58,4.43,49.0,18.1,1385372.27,325075.82,973572775.85,241736696.25,1786791450.68,99959.5,116.17,14.95,11031.77,4573.55,11902.32
62,Челябинская область,91.91,262.82,68089.5,476175.09,930983.05,1507971.09,2586.46,1752.72,45573.26,15.75,18.03,24744.83,42.22,3.25,54.55,16.0,3507793.45,233461.96,1127876223.2,60005566.74,2158960613.29,101583.0,118.1,21.13,34520.9,6428.27,18800.05
63,Республика Алтай,36.09,12.14,40989.14,308611.59,586044.27,968368.45,2576.36,1526.64,47124.11,29.44,16.82,19304.17,45.38,3.9,50.7,14.4,209680.64,142047.45,3181117.6,1360154.88,11772250.22,68047.5,119.3,8.51,6112.5,3368.18,8720.64
64,Республика Тыва,59.68,47.73,43653.45,321140.55,568439.0,965956.45,2566.0,1446.22,33731.95,38.39,17.68,16124.17,45.68,4.4,49.92,13.6,312331.27,125327.31,583659.33,13324897.93,31868393.05,43275.55,100.51,10.85,8668.77,3539.77,9025.59
65,Республика Хакасия,34.59,44.18,42539.95,316645.05,592793.86,984702.32,2586.15,1544.83,44389.54,22.3,17.62,21181.5,39.6,4.6,55.78,17.9,536338.86,228057.3,75792562.15,44543768.16,267082783.92,86272.36,118.41,14.1,8534.86,3776.36,9975.41
66,Алтайский край,129.95,128.32,58804.0,434568.73,849579.23,1375675.41,2592.75,2107.83,56336.62,24.25,19.29,22480.83,37.55,6.15,56.3,18.0,2435528.45,149372.69,254365210.42,5418837.75,503119821.9,87268.23,138.55,20.61,23362.13,5904.77,15789.64
67,Красноярский край,128.68,224.59,65697.68,469038.73,826359.09,1393818.95,2579.04,1669.39,43253.57,18.92,17.67,29723.83,38.88,5.6,55.5,16.6,2876578.95,400252.05,988490190.77,438425792.62,2704519029.72,115866.18,130.18,18.13,29625.17,5807.68,16498.36
68,Иркутская область,107.77,221.64,76139.86,499434.23,869102.5,1477400.05,2582.97,1604.26,48541.6,21.5,18.38,24346.83,39.47,6.08,54.42,16.3,2456143.41,287199.5,399339414.46,349237609.13,1452436652.44,90223.41,147.82,22.19,28113.76,5588.77,15290.32
69,Кемеровская область,54.18,229.45,65194.95,498287.91,909711.59,1505917.91,2585.1,1689.8,44490.11,15.05,17.99,23141.67,42.03,5.03,52.98,16.3,2762491.68,232071.69,477732589.93,648851468.06,2063695522.04,94027.95,101.33,24.42,26610.81,5374.05,14405.18
70,Новосибирская область,81.27,180.5,60928.36,458275.45,851296.14,1403223.41,2591.07,1492.18,39884.01,21.38,17.96,28499.33,36.33,7.02,56.6,16.3,2715050.18,241567.17,386295421.6,45186392.95,840699992.97,116826.0,86.17,20.16,27890.76,4780.95,13911.41
71,Омская область,77.14,114.09,54870.64,408978.05,756332.27,1252904.41,2591.51,1545.28,46980.78,16.92,19.25,25742.5,41.65,5.55,52.82,16.9,1990980.77,221601.39,689063955.44,3504042.6,1223084586.17,104224.27,87.26,10.66,21035.54,4268.95,12327.18
72,Томская область,39.68,74.23,47885.27,349219.14,644873.73,1074701.59,2589.64,1724.45,38877.09,16.75,17.64,27370.5,40.22,4.5,55.3,16.9,1054877.68,304223.27,144501511.41,144318240.64,525877518.56,89622.91,97.26,12.47,12616.91,3907.45,10840.86
